"Produkttitel","Antal bestilt","Antal returneret","Frekvensen for returneret antal"
"Shu Uemura Izumi Tonic Strengthening Energizing Water 150 ml - Hårserum",4,0,0
"Maria Nila True Soft Shampoo 1000 ml - Shampoo",4,0,0
"KMS TameFrizz Smoothing Reconstructor 200 ml - Hårkur",4,0,0
"Maria Nila Salty Mist 150 ml - Saltvandsspray",4,0,0
"KMS Add Volume Root and Body Lift 200 ml - Volumecreme",4,-4,1
"Maria Nila Soothing Dry Shampoo 250 ml",4,0,0
"Redken Styling Strong Hold 400 ml - Hårlak",4,0,0
"KMS HairPlay Playable Texture 200 ml - Hårlak",4,-4,1
"Shu Uemura Ashita Supreme Intense Revitalization 300 ml - Shampoo",4,0,0
"Maria Nila Gabbro Wax 100 ml - Hårvoks",4,-1,0.25
"Redken Extreme Shampoo 300 ml - Shampoo",4,0,0
"Oway Volumizing root spray 160 ml - Volumenspray",4,0,0
"Maria Nila Invisidry Shampoo 100 ml - Tørshampoo",4,0,0
"Oway Curl Priming Cream 150 ml - Krøllecreme",4,0,0
"Kérastase Blonde Absolu Sérum Cicanuit 90 ml - Hårserum",4,0,0
"Kérastase Masque Chroma Filler 200 ml",4,0,0
"L'Oréal Pro Tecni.Art Savage Panache Pure Powder Spray 250 ml - Pudderspray",4,-3,0.75
"L'Oréal Pro Serie Expert Chroma Crème Blue Shampoo 300 ml",4,-1,0.25
"Kérastase Bain Chroma Respect 250 ml - Shampoo",4,0,0
"Kérastase Première Sérum Filler Fondamental 90 ml",4,0,0
"Maria Nila Pure Volume Mousse 150 ml - Hårskum",4,0,0
"Kérastase Premiére Concentré Décalcifiant Ultra-Réparateur 250 ml",4,0,0
"Redken Extreme Conditioner 300 ml - Balsam",4,0,0
"Kérastase Blond Absolu Bain Lumière Shampoo Refill 500 ml",4,0,0
"Redken All Soft Mega Curls Shampoo 300 ml",4,0,0
"Maria Nila Structure Repair Leave In Cream 200 ml - Conditioner",4,0,0
"Shu Uemura Kaze Wave Volume Curl Mousse 150 ml - Hårskum",4,0,0
"Maria Nila Luminous Colour Conditioner 300 ml - Balsam",4,0,0
"Shu Uemura Umou hold Hair Cream 100 ml - Stylingcreme",3,0,0
"Redken Styling Control Hairspray 400 ml - Hårlak",3,0,0
"Maria Nila Finishing Spray 400 ml - Hårlak",3,-1,0.3333333333333333
"Oway Volume & texture Hair Puff 6 gr - Hårpudder",3,0,0
"KMS ThermaShape Hot Flex Spray 200 ml - Varmebeskyttende",3,0,0
"Oway Moisturizing Hair Bath 240 ml - Shampoo",3,0,0
"Shu Uemura Izumi Tonic Mask 200 ml",3,0,0
"Maria Nila Dry Shampoo 100 ml - Tørshampoo",3,0,0
"Balmain Hair Couture Homme Sculpting Wax 100 ml",3,0,0
"Kérastase Résistance Bain Force Architecte 500 ml",3,0,0
"Oway Micro-Stimulating Hair Loss Hair Bath 240 ml - Shampoo",3,0,0
"Maria Nila Pure Volume Booster Masque 50 ml - Hårkur",3,0,0
"KMS ThermaShape 2-in-1 Spray 200 ml - Hårspray",3,0,0
"Kérastase Blonde Absolu Masque Cicaextreme 200 ml - Hårkur",3,0,0
"Shu Uemura Restage Muroto Masque 200 ml - Hårkur",3,0,0
"Oway Plant & Mineral Refresh 36 gr. - Tørshampoo",3,0,0
"Maria Nila Head & Hair Heal Conditioner 300 ml - Balsam",3,0,0
"Oway Silk`n Glow Hair Mask",3,-3,1
"Oway Sea Salt Spray 240 ml - Saltvandsspray",3,0,0
"Redken Blondage High Bright Shampoo 300 ml - Shampoo",3,0,0
"Maria Nila Styling Spray 400 ml - Hårlak",3,0,0
"Kérastase Genesis Hydra-Fortifiant 500 ml - Shampoo",3,0,0
"Maria Nila Colour Refresh Peach 300 ml - Farvende hårkur",3,0,0
"Kérastase Première Pro Bain Décalcifiant Rénovateur Refill 500 ml - Shampoo",3,0,0
"Redken Styling Beach Spray 125 ml",3,0,0
"L'Oréal Pro Tecni.Art Density Mat 100 ml - Hårvoks",3,-2,0.6666666666666666
"Redken All Soft Mega Curls Conditioner 300 ml - Balsam",3,0,0
"ghd Platinum+ Styler Sort - Glattejern",3,0,0
"Redken Styling Thermal Spray 250 ml - Varmebeskyttelse",3,0,0
"weDo Professional Light & Soft Shampoo 300 ml - Shampoo",3,-1,0.3333333333333333
"ghd Curve Soft Curl Tong - Krøllejern",3,0,0
"KMS HairPlay Dry Wax 150 ml - Hårvoks",3,0,0
"KMS Moist Repair Leave-in Conditioner 150 ml - Conditioner",3,0,0
"KMS TameFrizz Shampoo 300 ml - Shampoo",3,0,0
